Id;CPU;Memory;Availability
1;20;20;0.3
2;20;20;0.30157074
3;20;20;0.3031411
4;20;20;0.30471066
5;20;20;0.30627906
6;20;20;0.30784592
7;20;20;0.30941084
8;20;20;0.31097344
9;20;20;0.31253335
10;20;20;0.31409013
11;20;20;0.31564346
12;20;20;0.3171929
13;20;20;0.31873813
14;20;20;0.32027873
15;20;20;0.32181433
16;20;20;0.32334456
17;20;20;0.324869
18;20;20;0.32638732
19;20;20;0.32789913
20;20;20;0.32940406
21;20;20;0.3309017
22;20;20;0.33239174
23;20;20;0.3338738
24;20;20;0.3353475
25;20;20;0.33681247
26;20;20;0.33826834
27;20;20;0.3397148
28;20;20;0.34115145
29;20;20;0.34257793
30;20;20;0.34399393
31;20;20;0.34539905
32;20;20;0.346793
33;20;20;0.34817538
34;20;20;0.34954587
35;20;20;0.35090417
36;20;20;0.35224986
37;20;20;0.35358268
38;20;20;0.3549023
39;20;20;0.35620835
40;20;20;0.35750052
41;20;20;0.35877854
42;20;20;0.36004204
43;20;20;0.36129072
44;20;20;0.36252427
45;20;20;0.3637424
46;20;20;0.36494482
47;20;20;0.3661312
48;20;20;0.36730126
49;20;20;0.36845472
50;20;20;0.3695913
51;20;20;0.3707107
52;20;20;0.37181264
53;20;20;0.37289688
54;20;20;0.37396312
55;20;20;0.37501112
56;20;20;0.3760406
57;20;20;0.37705135
58;20;20;0.37804306
59;20;20;0.3790155
60;20;20;0.37996846
61;20;20;0.38090172
62;20;20;0.381815
63;20;20;0.38270807
64;20;20;0.38358074
65;20;20;0.3844328
66;20;20;0.38526404
67;20;20;0.38607422
68;20;20;0.38686317
69;20;20;0.38763067
70;20;20;0.3883766
71;20;20;0.38910067
72;20;20;0.38980278
73;20;20;0.39048272
74;20;20;0.39114034
75;20;20;0.3917755
76;20;20;0.39238796
77;20;20;0.39297765
78;20;20;0.39354444
79;20;20;0.3940881
80;20;20;0.39460856
81;20;20;0.39510566
82;20;20;0.3955793
83;20;20;0.39602938
84;20;20;0.39645576
85;20;20;0.39685833
86;20;20;0.397237
87;20;20;0.39759168
88;20;20;0.3979223
89;20;20;0.39822873
90;20;20;0.39851093
91;20;20;0.39876884
92;20;20;0.39900237
93;20;20;0.3992115
94;20;20;0.39939612
95;20;20;0.39955622
96;20;20;0.39969176
97;20;20;0.39980268
98;20;20;0.399889
99;20;20;0.39995068
100;20;20;0.39998767
101;20;20;0.4
102;20;20;0.39998767
103;20;20;0.39995068
104;20;20;0.399889
105;20;20;0.39980268
106;20;20;0.39969176
107;20;20;0.39955622
108;20;20;0.39939612
109;20;20;0.3992115
110;20;20;0.39900237
111;20;20;0.39876884
112;20;20;0.39851093
113;20;20;0.39822873
114;20;20;0.3979223
115;20;20;0.39759168
116;20;20;0.397237
117;20;20;0.39685833
118;20;20;0.39645576
119;20;20;0.39602938
120;20;20;0.3955793
121;20;20;0.39510566
122;20;20;0.39460856
123;20;20;0.3940881
124;20;20;0.39354444
125;20;20;0.39297765
126;20;20;0.39238796
127;20;20;0.3917755
128;20;20;0.39114034
129;20;20;0.39048272
130;20;20;0.38980278
131;20;20;0.38910067
132;20;20;0.3883766
133;20;20;0.38763067
134;20;20;0.38686317
135;20;20;0.38607422
136;20;20;0.38526404
137;20;20;0.3844328
138;20;20;0.38358074
139;20;20;0.38270807
140;20;20;0.381815
141;20;20;0.38090172
142;20;20;0.37996846
143;20;20;0.3790155
144;20;20;0.37804306
145;20;20;0.37705135
146;20;20;0.3760406
147;20;20;0.37501112
148;20;20;0.37396312
149;20;20;0.37289688
150;20;20;0.37181264
151;20;20;0.3707107
152;20;20;0.3695913
153;20;20;0.36845472
154;20;20;0.36730126
155;20;20;0.3661312
156;20;20;0.36494482
157;20;20;0.3637424
158;20;20;0.36252427
159;20;20;0.36129072
160;20;20;0.36004204
161;20;20;0.35877854
162;20;20;0.35750052
163;20;20;0.35620835
164;20;20;0.3549023
165;20;20;0.35358268
166;20;20;0.35224986
167;20;20;0.35090417
168;20;20;0.34954587
169;20;20;0.34817538
170;20;20;0.346793
171;20;20;0.34539905
172;20;20;0.34399393
173;20;20;0.34257793
174;20;20;0.34115145
175;20;20;0.3397148
176;20;20;0.33826834
177;20;20;0.33681247
178;20;20;0.3353475
179;20;20;0.3338738
180;20;20;0.33239174
181;20;20;0.3309017
182;20;20;0.32940406
183;20;20;0.32789913
184;20;20;0.32638732
185;20;20;0.324869
186;20;20;0.32334456
187;20;20;0.32181433
188;20;20;0.32027873
189;20;20;0.31873813
190;20;20;0.3171929
191;20;20;0.31564346
192;20;20;0.31409013
193;20;20;0.31253335
194;20;20;0.31097344
195;20;20;0.30941084
196;20;20;0.30784592
197;20;20;0.30627906
198;20;20;0.30471066
199;20;20;0.3031411
200;20;20;0.30157074
201;20;20;0.3
202;20;20;0.29842928
203;20;20;0.29685894
204;20;20;0.29528937
205;20;20;0.29372096
206;20;20;0.2921541
207;20;20;0.29058918
208;20;20;0.2890266
209;20;20;0.28746668
210;20;20;0.2859099
211;20;20;0.28435656
212;20;20;0.2828071
213;20;20;0.2812619
214;20;20;0.2797213
215;20;20;0.2781857
216;20;20;0.27665547
217;20;20;0.27513102
218;20;20;0.2736127
219;20;20;0.2721009
220;20;20;0.27059597
221;20;20;0.2690983
222;20;20;0.26760828
