Id;CPU;Memory;Availability
1;50;50;0.3
2;49.99013;49.99013;0.30157074
3;49.960533;49.960533;0.3031411
4;49.91124;49.91124;0.30471066
5;49.842293;49.842293;0.30627906
6;49.75377;49.75377;0.30784592
7;49.645744;49.645744;0.30941084
8;49.518333;49.518333;0.31097344
9;49.371666;49.371666;0.31253335
10;49.20587;49.20587;0.31409013
11;49.021133;49.021133;0.31564346
12;48.817616;48.817616;0.3171929
13;48.595528;48.595528;0.31873813
14;48.355095;48.355095;0.32027873
15;48.096542;48.096542;0.32181433
16;47.82013;47.82013;0.32334456
17;47.52613;47.52613;0.324869
18;47.21484;47.21484;0.32638732
19;46.88656;46.88656;0.32789913
20;46.54161;46.54161;0.32940406
21;46.18034;46.18034;0.3309017
22;45.8031;45.8031;0.33239174
23;45.410263;45.410263;0.3338738
24;45.00222;45.00222;0.3353475
25;44.579372;44.579372;0.33681247
26;44.142136;44.142136;0.33826834
27;43.69094;43.69094;0.3397148
28;43.22624;43.22624;0.34115145
29;42.74848;42.74848;0.34257793
30;42.25814;42.25814;0.34399393
31;41.755707;41.755707;0.34539905
32;41.24167;41.24167;0.346793
33;40.716537;40.716537;0.34817538
34;40.18083;40.18083;0.34954587
35;39.635075;39.635075;0.35090417
36;39.07981;39.07981;0.35224986
37;38.515587;38.515587;0.35358268
38;37.94296;37.94296;0.3549023
39;37.36249;37.36249;0.35620835
40;36.774757;36.774757;0.35750052
41;36.18034;36.18034;0.35877854
42;35.579823;35.579823;0.36004204
43;34.973797;34.973797;0.36129072
44;34.362865;34.362865;0.36252427
45;33.747627;33.747627;0.3637424
46;33.12869;33.12869;0.36494482
47;32.506664;32.506664;0.3661312
48;31.882166;31.882166;0.36730126
49;31.25581;31.25581;0.36845472
50;30.628216;30.628216;0.3695913
51;30;30;0.3707107
52;29.371784;29.371784;0.37181264
53;28.74419;28.74419;0.37289688
54;28.117834;28.117834;0.37396312
55;27.493336;27.493336;0.37501112
56;26.871311;26.871311;0.3760406
57;26.252373;26.252373;0.37705135
58;25.637135;25.637135;0.37804306
59;25.026203;25.026203;0.3790155
60;24.420177;24.420177;0.37996846
61;23.81966;23.81966;0.38090172
62;23.22524;23.22524;0.381815
63;22.637508;22.637508;0.38270807
64;22.057041;22.057041;0.38358074
65;21.484413;21.484413;0.3844328
66;20.920189;20.920189;0.38526404
67;20.364925;20.364925;0.38607422
68;19.819172;19.819172;0.38686317
