Id;CPU;Memory;Availability
1;450;450;0.8
2;453.14145;453.14145;0.8
3;456.28217;456.28217;0.8
4;459.4213;459.4213;0.8
5;462.5581;462.5581;0.8
6;465.69183;465.69183;0.8
7;468.82166;468.82166;0.8
8;471.94687;471.94687;0.8
9;475.06665;475.06665;0.8
10;478.18024;478.18024;0.8
11;481.2869;481.2869;0.8
12;484.38583;484.38583;0.8
13;487.47626;487.47626;0.8
14;490.55746;490.55746;0.8
15;493.62866;493.62866;0.8
16;496.6891;496.6891;0.8
17;499.73798;499.73798;0.8
18;502.7746;502.7746;0.8
19;505.79822;505.79822;0.8
20;508.80807;508.80807;0.8
21;511.8034;511.8034;0.8
22;514.7835;514.7835;0.8
23;517.74756;517.74756;0.8
24;520.69495;520.69495;0.8
25;523.6249;523.6249;0.8
26;526.5367;526.5367;0.8
27;529.42957;529.42957;0.8
28;532.30286;532.30286;0.8
29;535.1559;535.1559;0.8
30;537.98785;537.98785;0.8
31;540.7981;540.7981;0.8
32;543.58594;543.58594;0.8
33;546.3507;546.3507;0.8
34;549.09174;549.09174;0.8
35;551.8083;551.8083;0.8
36;554.4997;554.4997;0.8
37;557.16534;557.16534;0.8
38;559.80457;559.80457;0.8
39;562.4167;562.4167;0.8
40;565.00104;565.00104;0.8
41;567.55707;567.55707;0.8
42;570.08405;570.08405;0.8
43;572.5814;572.5814;0.8
44;575.0485;575.0485;0.8
45;577.4848;577.4848;0.8
46;579.8896;579.8896;0.8
47;582.2624;582.2624;0.8
48;584.6025;584.6025;0.8
49;586.9094;586.9094;0.8
50;589.18256;589.18256;0.8
51;591.4214;591.4214;0.8
52;593.62524;593.62524;0.8
53;595.7937;595.7937;0.8
54;597.9262;597.9262;0.8
55;600.0222;600.0222;0.8
56;602.0812;602.0812;0.8
57;604.10266;604.10266;0.8
58;606.08606;606.08606;0.8
59;608.031;608.031;0.8
60;609.93695;609.93695;0.8
61;611.8034;611.8034;0.8
62;613.62994;613.62994;0.8
63;615.41614;615.41614;0.8
64;617.1615;617.1615;0.8
65;618.8656;618.8656;0.8
66;620.528;620.528;0.8
67;622.14844;622.14844;0.8
68;623.7263;623.7263;0.8
69;625.26135;625.26135;0.8
70;626.7531;626.7531;0.8
71;628.2013;628.2013;0.8
72;629.6055;629.6055;0.8
73;630.9654;630.9654;0.8
74;632.28064;632.28064;0.8
75;633.5509;633.5509;0.8
76;634.7759;634.7759;0.8
77;635.9553;635.9553;0.8
78;637.0888;637.0888;0.8
79;638.17615;638.17615;0.8
80;639.21704;639.21704;0.8
81;640.2113;640.2113;0.8
82;641.15857;641.15857;0.8
83;642.0587;642.0587;0.8
84;642.9115;642.9115;0.8
85;643.7166;643.7166;0.8
86;644.474;644.474;0.8
87;645.18335;645.18335;0.8
88;645.8446;645.8446;0.8
89;646.45746;646.45746;0.8
90;647.02185;647.02185;0.8
91;647.53766;647.53766;0.8
92;648.00476;648.00476;0.8
93;648.423;648.423;0.8
94;648.7922;648.7922;0.8
95;649.1124;649.1124;0.8
96;649.3835;649.3835;0.8
97;649.60535;649.60535;0.8
98;649.77795;649.77795;0.8
99;649.9013;649.9013;0.8
100;649.97534;649.97534;0.8
101;650;650;0.8
102;649.97534;649.97534;0.8
103;649.9013;649.9013;0.8
104;649.77795;649.77795;0.8
105;649.60535;649.60535;0.8
106;649.3835;649.3835;0.8
107;649.1124;649.1124;0.8
108;648.7922;648.7922;0.8
109;648.423;648.423;0.8
110;648.00476;648.00476;0.8
111;647.53766;647.53766;0.8
112;647.02185;647.02185;0.8
113;646.45746;646.45746;0.8
114;645.8446;645.8446;0.8
115;645.18335;645.18335;0.8
116;644.474;644.474;0.8
117;643.7166;643.7166;0.8
118;642.9115;642.9115;0.8
119;642.0587;642.0587;0.8
120;641.15857;641.15857;0.8
121;640.2113;640.2113;0.8
122;639.21704;639.21704;0.8
123;638.17615;638.17615;0.8
124;637.0888;637.0888;0.8
125;635.9553;635.9553;0.8
126;634.7759;634.7759;0.8
127;633.5509;633.5509;0.8
128;632.28064;632.28064;0.8
129;630.9654;630.9654;0.8
130;629.6055;629.6055;0.8
131;628.2013;628.2013;0.8
132;626.7531;626.7531;0.8
133;625.26135;625.26135;0.8
134;623.7263;623.7263;0.8
135;622.14844;622.14844;0.8
