Id;CPU;Memory;Availability
1;30;30;0.3
2;30.628216;30.628216;0.30157074
3;31.25581;31.25581;0.3031411
4;31.882166;31.882166;0.30471066
5;32.506664;32.506664;0.30627906
6;33.12869;33.12869;0.30784592
7;33.747627;33.747627;0.30941084
8;34.362865;34.362865;0.31097344
9;34.973797;34.973797;0.31253335
10;35.579823;35.579823;0.31409013
11;36.18034;36.18034;0.31564346
12;36.774757;36.774757;0.3171929
13;37.36249;37.36249;0.31873813
14;37.94296;37.94296;0.32027873
15;38.515587;38.515587;0.32181433
16;39.07981;39.07981;0.32334456
17;39.635075;39.635075;0.324869
18;40.18083;40.18083;0.32638732
19;40.716537;40.716537;0.32789913
20;41.24167;41.24167;0.32940406
21;41.755707;41.755707;0.3309017
22;42.25814;42.25814;0.33239174
23;42.74848;42.74848;0.3338738
24;43.22624;43.22624;0.3353475
25;43.69094;43.69094;0.33681247
26;44.142136;44.142136;0.33826834
27;44.579372;44.579372;0.3397148
28;45.00222;45.00222;0.34115145
29;45.410263;45.410263;0.34257793
30;45.8031;45.8031;0.34399393
31;46.18034;46.18034;0.34539905
32;46.54161;46.54161;0.346793
33;46.88656;46.88656;0.34817538
34;47.21484;47.21484;0.34954587
35;47.52613;47.52613;0.35090417
36;47.82013;47.82013;0.35224986
37;48.096542;48.096542;0.35358268
38;48.355095;48.355095;0.3549023
39;48.595528;48.595528;0.35620835
40;48.817616;48.817616;0.35750052
41;49.021133;49.021133;0.35877854
42;49.20587;49.20587;0.36004204
43;49.371666;49.371666;0.36129072
44;49.518333;49.518333;0.36252427
45;49.645744;49.645744;0.3637424
46;49.75377;49.75377;0.36494482
47;49.842293;49.842293;0.3661312
48;49.91124;49.91124;0.36730126
49;49.960533;49.960533;0.36845472
50;49.99013;49.99013;0.3695913
51;50;50;0.3707107
52;49.99013;49.99013;0.37181264
53;49.960533;49.960533;0.37289688
54;49.91124;49.91124;0.37396312
55;49.842293;49.842293;0.37501112
56;49.75377;49.75377;0.3760406
57;49.645744;49.645744;0.37705135
58;49.518333;49.518333;0.37804306
59;49.371666;49.371666;0.3790155
60;49.20587;49.20587;0.37996846
61;49.021133;49.021133;0.38090172
62;48.817616;48.817616;0.381815
63;48.595528;48.595528;0.38270807
64;48.355095;48.355095;0.38358074
65;48.096542;48.096542;0.3844328
66;47.82013;47.82013;0.38526404
67;47.52613;47.52613;0.38607422
68;47.21484;47.21484;0.38686317
69;46.88656;46.88656;0.38763067
70;46.54161;46.54161;0.3883766
71;46.18034;46.18034;0.38910067
72;45.8031;45.8031;0.38980278
73;45.410263;45.410263;0.39048272
74;45.00222;45.00222;0.39114034
75;44.579372;44.579372;0.3917755
76;44.142136;44.142136;0.39238796
77;43.69094;43.69094;0.39297765
78;43.22624;43.22624;0.39354444
79;42.74848;42.74848;0.3940881
80;42.25814;42.25814;0.39460856
81;41.755707;41.755707;0.39510566
82;41.24167;41.24167;0.3955793
83;40.716537;40.716537;0.39602938
84;40.18083;40.18083;0.39645576
85;39.635075;39.635075;0.39685833
86;39.07981;39.07981;0.397237
87;38.515587;38.515587;0.39759168
88;37.94296;37.94296;0.3979223
89;37.36249;37.36249;0.39822873
90;36.774757;36.774757;0.39851093
91;36.18034;36.18034;0.39876884
92;35.579823;35.579823;0.39900237
93;34.973797;34.973797;0.3992115
94;34.362865;34.362865;0.39939612
95;33.747627;33.747627;0.39955622
96;33.12869;33.12869;0.39969176
97;32.506664;32.506664;0.39980268
98;31.882166;31.882166;0.399889
99;31.25581;31.25581;0.39995068
100;30.628216;30.628216;0.39998767
101;30;30;0.4
102;29.371784;29.371784;0.39998767
103;28.74419;28.74419;0.39995068
104;28.117834;28.117834;0.399889
105;27.493336;27.493336;0.39980268
106;26.871311;26.871311;0.39969176
107;26.252373;26.252373;0.39955622
108;25.637135;25.637135;0.39939612
109;25.026203;25.026203;0.3992115
110;24.420177;24.420177;0.39900237
111;23.81966;23.81966;0.39876884
112;23.22524;23.22524;0.39851093
113;22.637508;22.637508;0.39822873
114;22.057041;22.057041;0.3979223
115;21.484413;21.484413;0.39759168
116;20.920189;20.920189;0.397237
117;20.364925;20.364925;0.39685833
118;19.819172;19.819172;0.39645576
119;19.283464;19.283464;0.39602938
120;18.758333;18.758333;0.3955793
121;18.244295;18.244295;0.39510566
122;17.74186;17.74186;0.39460856
123;17.25152;17.25152;0.3940881
124;16.773762;16.773762;0.39354444
125;16.309057;16.309057;0.39297765
126;15.857864;15.857864;0.39238796
127;15.420628;15.420628;0.3917755
128;14.997779;14.997779;0.39114034
129;14.589735;14.589735;0.39048272
130;14.1969;14.1969;0.38980278
131;13.81966;13.81966;0.38910067
132;13.458389;13.458389;0.3883766
133;13.113441;13.113441;0.38763067
134;12.78516;12.78516;0.38686317
135;12.473867;12.473867;0.38607422
136;12.179869;12.179869;0.38526404
137;11.90346;11.90346;0.3844328
138;11.644907;11.644907;0.38358074
139;11.40447;11.40447;0.38270807
140;11.1823845;11.1823845;0.381815
141;10.9788685;10.9788685;0.38090172
142;10.7941265;10.7941265;0.37996846
143;10.628336;10.628336;0.3790155
144;10.481665;10.481665;0.37804306
145;10.354256;10.354256;0.37705135
146;10.246233;10.246233;0.3760406
147;10.157705;10.157705;0.37501112
148;10.08876;10.08876;0.37396312
149;10.039465;10.039465;0.37289688
150;10.009869;10.009869;0.37181264
151;10;10;0.3707107
152;10.009869;10.009869;0.3695913
153;10.039465;10.039465;0.36845472
154;10.08876;10.08876;0.36730126
155;10.157705;10.157705;0.3661312
156;10.246233;10.246233;0.36494482
157;10.354256;10.354256;0.3637424
158;10.481665;10.481665;0.36252427
159;10.628336;10.628336;0.36129072
160;10.7941265;10.7941265;0.36004204
161;10.9788685;10.9788685;0.35877854
162;11.1823845;11.1823845;0.35750052
163;11.40447;11.40447;0.35620835
164;11.644907;11.644907;0.3549023
165;11.90346;11.90346;0.35358268
166;12.179869;12.179869;0.35224986
167;12.473867;12.473867;0.35090417
168;12.78516;12.78516;0.34954587
169;13.113441;13.113441;0.34817538
170;13.458389;13.458389;0.346793
171;13.81966;13.81966;0.34539905
172;14.1969;14.1969;0.34399393
173;14.589735;14.589735;0.34257793
174;14.997779;14.997779;0.34115145
175;15.420628;15.420628;0.3397148
176;15.857864;15.857864;0.33826834
177;16.309057;16.309057;0.33681247
178;16.773762;16.773762;0.3353475
179;17.25152;17.25152;0.3338738
180;17.74186;17.74186;0.33239174
181;18.244295;18.244295;0.3309017
182;18.758333;18.758333;0.32940406
183;19.283464;19.283464;0.32789913
184;19.819172;19.819172;0.32638732
185;20.364925;20.364925;0.324869
186;20.920189;20.920189;0.32334456
187;21.484413;21.484413;0.32181433
188;22.057041;22.057041;0.32027873
189;22.637508;22.637508;0.31873813
190;23.22524;23.22524;0.3171929
191;23.81966;23.81966;0.31564346
192;24.420177;24.420177;0.31409013
193;25.026203;25.026203;0.31253335
194;25.637135;25.637135;0.31097344
195;26.252373;26.252373;0.30941084
196;26.871311;26.871311;0.30784592
197;27.493336;27.493336;0.30627906
198;28.117834;28.117834;0.30471066
199;28.74419;28.74419;0.3031411
200;29.371784;29.371784;0.30157074
201;30;30;0.3
202;30.628216;30.628216;0.29842928
203;31.25581;31.25581;0.29685894
204;31.882166;31.882166;0.29528937
205;32.506664;32.506664;0.29372096
206;33.12869;33.12869;0.2921541
207;33.747627;33.747627;0.29058918
208;34.362865;34.362865;0.2890266
209;34.973797;34.973797;0.28746668
210;35.579823;35.579823;0.2859099
211;36.18034;36.18034;0.28435656
212;36.774757;36.774757;0.2828071
213;37.36249;37.36249;0.2812619
214;37.94296;37.94296;0.2797213
215;38.515587;38.515587;0.2781857
216;39.07981;39.07981;0.27665547
217;39.635075;39.635075;0.27513102
218;40.18083;40.18083;0.2736127
219;40.716537;40.716537;0.2721009
220;41.24167;41.24167;0.27059597
221;41.755707;41.755707;0.2690983
222;42.25814;42.25814;0.26760828
223;42.74848;42.74848;0.26612622
224;43.22624;43.22624;0.26465252
225;43.69094;43.69094;0.26318756
226;44.142136;44.142136;0.26173168
